accession,name,kingdom,super_class,class,sub_class,group
HMDB0000666,Heptanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000667,L-Thyronine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000669,ortho-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,Aromatics
HMDB0000670,Homo-L-arginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000671,Indolelactic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0000672,Hexadecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000673,Linoleic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids
HMDB0000674,PA(16:0/16:0),Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,Lipids
HMDB0000676,L-Homocystine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000678,Isovalerylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000682,Indoxyl sulfate,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Nitrogenous & organic acids
HMDB0000684,L-Kynurenine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0000687,L-Leucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000688,Isovalerylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000689,Isocaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000691,Malonic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Nitrogenous & organic acids
HMDB0000693,Heparan sulfate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000694,L-2-Hydroxyglutaric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Short-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000695,Ketoleucine,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0000696,L-Methionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000699,1-Methylnicotinamide,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0000700,Hydroxypropionic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000701,Hexanoylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000703,Mandelic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Aromatics
HMDB0000704,Isoxanthopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0000706,Aspartylphenylalanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000707,4-Hydroxyphenylpyruvic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives,Aromatics
HMDB0000711,Hydroxyoctanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000714,Hippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0000715,Kynurenic acid,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Heterocycles & nucleotides
HMDB0000716,L-Pipecolic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000718,Isovaleric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000719,L-Homoserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000720,Levulinic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,Nitrogenous & organic acids
HMDB0000721,Glycylproline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000725,4-Hydroxyproline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000726,Isovalerylglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000729,alpha-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000730,Isobutyrylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000731,Cysteine-S-sulfate,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000732,Hydroxykynurenine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0000733,Hyodeoxycholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000735,Hydroxyphenylacetylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000736,Isobutyryl-L-carnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000738,Indole,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0000740,Lactulose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000742,Homocysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000745,Homocarnosine,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,Nitrogenous & organic acids
HMDB0000746,Hydroxyisocaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000747,Isovalerylalanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000748,L-3-Phenyllactic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000749,Mesaconic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000750,3-Hydroxymandelic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,Aromatics
HMDB0000752,Methylglutaric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000753,3-Hexanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0000754,3-Hydroxyisovaleric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000755,Hydroxyphenyllactic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000756,Hexanoylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000757,Glycogen,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000759,Glycylleucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000761,Lithocholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000763,5-Hydroxyindoleacetic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0000764,Hydrocinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000765,Mannitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000766,N-Acetyl-L-alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000767,Pseudouridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,,Heterocycles & nucleotides
HMDB0000772,Nonadecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000774,Pregnenolone sulfate,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Sulfated steroids,Lipids
HMDB0000779,Phenyllactic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000781,N-Acetylgalactosamine 4-sulphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000782,Octadecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000783,Propionylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000784,Azelaic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000786,Oxypurinol,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0000788,Orotidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Heterocycles & nucleotides
HMDB0000791,Octanoylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000792,Sebacic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000798,Oenanthic ether,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000802,Pterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0000803,beta-N-Acetylglucosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000806,Myristic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000807,3-Phosphoglyceric acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000808,N-Butyrylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000812,N-Acetyl-L-aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000819,Normetanephrine,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0000820,Propyl alcohol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0000821,Phenylacetylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000826,Pentadecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000827,Stearic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000828,Ureidosuccinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000832,Capryloylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000840,Salicyluric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0000842,Quinaldic acid,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Heterocycles & nucleotides
HMDB0000845,Neopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0000847,Pelargonic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000848,Stearoylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000849,Rhamnose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000852,beta-Sitosterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Stigmastanes and derivatives,Lipids
HMDB0000857,Pimelic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000858,Monomethyl glutaric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0000859,Methyl hippurate,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000860,Phenylpropionylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000863,Isopropyl alcohol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0000866,N-Acetyl-L-tyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000870,Histamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0000871,5alpha-Cholestanone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0000872,Tetradecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000873,4-Methylcatechol,Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0000875,Trigonelline,Organic compounds,Alkaloids and derivatives,,,Other
HMDB0000876,Vitamin D3,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Vitamin D and derivatives,Lipids
HMDB0000881,Xanthurenic acid,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Heterocycles & nucleotides
HMDB0000883,L-Valine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000884,Ribothymidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Heterocycles & nucleotides
HMDB0000885,CE(16:0),Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Lipids
HMDB0000888,Undecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000892,Valeric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000893,Suberic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000894,Vinylacetylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000895,Acetylcholine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Nitrogenous & organic acids
HMDB0000896,Taurodeoxycholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000898,1-Methylhistamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0000899,Androstanedione,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
HMDB0000900,Ergocalciferol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Vitamin D and derivatives,Lipids
HMDB0000902,NAD,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,Heterocycles & nucleotides
HMDB0000903,Tetrahydrocortisone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Lipids
HMDB0000904,Citrulline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000905,Deoxyadenosine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0000906,Trimethylamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0000907,Sulfolithocholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000908,5alpha-Cholestanol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0000910,Tridecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000913,Vanillactic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0000920,11a-Hydroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0000921,Cholestenone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0000925,Trimethylamine N-oxide,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides,Nitrogenous & organic acids
HMDB0000926,Pyridine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,,Heterocycles & nucleotides
HMDB0000927,Valerylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000929,L-Tryptophan,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0000930,trans-Cinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Aromatics
HMDB0000933,Traumatic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000937,Stigmasterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Stigmastanes and derivatives,Lipids
HMDB0000939,S-Adenosylhomocysteine,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Heterocycles & nucleotides
HMDB0000943,Threonic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000944,Behenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000946,Ursodeoxycholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000947,Undecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000953,Suberylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000954,Ferulic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Aromatics
HMDB0000955,Isoferulic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Aromatics
HMDB0000956,Tartaric acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000957,Pyrocatechol,Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0000958,trans-Aconitic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Nitrogenous & organic acids
HMDB0000959,Tiglylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000962,Lipoamide,Organic compounds,Organoheterocyclic compounds,Dithiolanes,Lipoamides,Heterocycles & nucleotides
HMDB0000965,Hypotaurine,Organic compounds,Organic acids and derivatives,Sulfinic acids and derivatives,Sulfinic acids,Nitrogenous & organic acids
HMDB0000975,Trehalose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000982,5-Methylcytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Heterocycles & nucleotides
HMDB0000991,DL-2-Aminooctanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000995,16-Dehydroprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Oxosteroids,Lipids
HMDB0001003,Adenosine phosphosulfate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001020,"N,N-Dimethylaniline",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001044,2'-Deoxyguanosine 5'-monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001046,Cotinine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyrrolidinylpyridines,Heterocycles & nucleotides
HMDB0001049,gamma-Glutamylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001051,Glyceraldehyde,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001065,2-Hydroxyphenethylamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001067,N-Acetylaspartylglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001069,2-Phenylaminoadenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0001078,Mannose 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001101,p-Anisic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001107,7-Methylguanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0001120,Dimethylallylpyrophosphate,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Isoprenoid phosphates,Lipids
HMDB0001123,2-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001129,N-Acetylmannosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001140,Octanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0001149,5-Aminolevulinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001151,Allose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001160,Tricosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001169,4-Aminophenol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Aromatics
HMDB0001170,Lathosterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0001173,5'-Methylthioadenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,Heterocycles & nucleotides
HMDB0001183,Octanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Lipids
HMDB0001184,Methyl propenyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0001186,N1-Acetylspermine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Nitrogenous & organic acids
HMDB0001197,FADH,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,,Heterocycles & nucleotides
HMDB0001201,Guanosine diphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001202,dCMP,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001209,Allantoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001218,Coumarin,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,,Aromatics
HMDB0001220,Prostaglandin E2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Lipids
HMDB0001227,5-Thymidylic acid,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001232,4-Nitrophenol,Organic compounds,Benzenoids,Phenols,Nitrophenols,Aromatics
HMDB0001238,N-Acetylserotonin,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,Heterocycles & nucleotides
HMDB0001248,FAD,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,,Heterocycles & nucleotides
HMDB0001254,Glucosamine 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001256,Spermine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001257,Spermidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
