accession,name,kingdom,super_class,class,sub_class
HMDB0001882,Dihydroxyacetone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001885,3-Chlorotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001886,3-Methylxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001888,"N,N-Dimethylformamide",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
HMDB0001889,Theophylline,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001890,Acetylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001891,m-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001892,Menadione,Organic compounds,Benzenoids,Naphthalenes,Naphthoquinones
HMDB0001893,alpha-Tocopherol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids
HMDB0001894,Aspartame,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001895,Salicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001896,5-Methoxytryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB0001900,Ribonolactone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001901,Aminocaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001902,Pteroyltriglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001904,3-Nitrotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001906,2-Aminoisobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001913,Omeprazole,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,Sulfinylbenzimidazoles
HMDB0001919,Famotidine,Organic compounds,Organoheterocyclic compounds,Azoles,Thiazoles
HMDB0001920,Dextromethorphan,Organic compounds,Alkaloids and derivatives,Morphinans,
HMDB0001921,"1,1-Dimethylbiguanide",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines
HMDB0001922,Clotrimazole,Organic compounds,Benzenoids,Triphenyl compounds,
HMDB0001923,Naproxen,Organic compounds,Benzenoids,Naphthalenes,
HMDB0001924,Atenolol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetamides
HMDB0001925,Ibuprofen,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0001926,17a-Ethynylestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0001927,Diphenhydramine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
HMDB0001928,Hydrochlorothiazide,Organic compounds,Organoheterocyclic compounds,Thiadiazines,Benzothiadiazines
HMDB0001929,Levofloxacin,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
HMDB0001930,Ranitidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001932,Metoprolol,Organic compounds,Benzenoids,Phenols,Tyrosols and derivatives
HMDB0001933,Furosemide,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
HMDB0001934,Nicotine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyrrolidinylpyridines
HMDB0001935,Warfarin,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins
HMDB0001936,Doxylamine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzylethers
HMDB0001937,Salbutamol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols
HMDB0001938,Lisinopril,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001939,Medroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0001940,Triamterene,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,
HMDB0001941,Brompheniramine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pheniramines
HMDB0001942,Phenylpropanolamine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
HMDB0001943,Pseudoephedrine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
HMDB0001944,Chlorpheniramine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pheniramines
HMDB0001955,3-Phenylbutyric acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0001972,3-Aminosalicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001973,9-Methyluric acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001975,2-Ethyl-2-Hydroxybutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001982,"3,7-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0001987,2-Hydroxy-2-methylbutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0001991,7-Methylxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0002001,Dimethylmalonic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0002003,Tetracosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002004,5-Methoxydimethyltryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
HMDB0002005,Methionine sulfoxide,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002006,"2,3-Diaminopropionic acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002024,Imidazoleacetic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB0002026,"1,9-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0002039,2-Pyrrolidinone,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones
HMDB0002040,4-Methoxycinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids
HMDB0002043,5-Phenylvaleric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002048,m-Cresol,Organic compounds,Benzenoids,Phenols,Cresols
HMDB0002055,o-Cresol,Organic compounds,Benzenoids,Phenols,Cresols
HMDB0002059,12-Hydroxydodecanoic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0002064,N-Acetylputrescine,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids
HMDB0002068,Erucic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002072,4-Methoxyphenylacetic acid,Organic compounds,Benzenoids,Phenol ethers,Anisoles
HMDB0002074,"2,2-Dimethylsuccinic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002085,Syringic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002092,Itaconic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002096,3-Indolebutyric acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB0002097,4-Ethylbenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002099,6-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0002107,Phthalic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002123,"1,3,7-Trimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0002128,"2,4-Diamino-6-hydroxypyrimidine",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0002141,N-Methyl-a-aminoisobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002144,"1,3-Dimethyluracil",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0002176,Ethylmethylacetic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002182,Phenylephrine,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids
HMDB0002199,Desaminotyrosine,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0002205,L-Homocysteic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002210,2-Phenylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002212,Arachidic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002222,3-Methylphenylacetic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Toluenes
HMDB0002229,3-Phenoxypropionic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,3-phenoxypropionic acids
HMDB0002243,Picolinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0002259,Heptadecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002302,Indole-3-propionic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB0002303,Dimethylsulfide,Organic compounds,Organosulfur compounds,Thioethers,Dialkylthioethers
HMDB0002308,Hydroxocobalamin,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Corrinoids
HMDB0002322,Cadaverine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0002327,"1,11-Undecanedicarboxylic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002339,5-Methoxytryptophan,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
HMDB0002345,Heneicosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002348,Octacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002350,Octadecanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
HMDB0002356,Hexacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002359,Phenylpropiolic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,
HMDB0002361,Pentacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002362,"2,4-Diaminobutyric acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002364,Oleanolic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
HMDB0002368,Nervonic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002390,3-Cresotinic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002391,Uvaol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
HMDB0002393,N-Methyl-D-aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002404,Alpha-Hydroxyhippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002428,Terephthalic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0002432,Sumiki's acid,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives
HMDB0002434,Hydroquinone,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0002455,Pyruvatoxime,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Oximes
HMDB0002467,A-Ketoglutaric acid oxime,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0002511,"3,4,5-Trimethoxycinnamic acid",Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
HMDB0002545,Galacturonic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0002643,3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0002649,Erythrose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0002658,6-Hydroxynicotinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0002670,Naringenin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans
HMDB0002706,Canavanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002712,"1,5-Anhydrosorbitol",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0002721,1-Methylinosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0002755,Myricetin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
HMDB0002780,Catechin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans
HMDB0002802,Cortisone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0002820,Methylimidazoleacetic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB0002825,Theobromine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0002835,Danazol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0002873,Deacetyldiltiazem,Organic compounds,Organoheterocyclic compounds,Benzothiazepines,
HMDB0002899,Ellagic acid,Organic compounds,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins
HMDB0002917,D-Xylitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0002923,Isomaltose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0002925,Dihomo-gamma-linolenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0002927,Naringin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides
HMDB0002928,Maltitol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides
HMDB0002931,N-Acetylserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0002939,Methyl isobutyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0002991,Cysteamine,Organic compounds,Organosulfur compounds,Thiols,Alkylthiols
HMDB0002994,Erythritol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003012,Aniline,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
HMDB0003033,Canrenone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones
HMDB0003066,Chalcone,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones
HMDB0003070,Shikimic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0003072,Quinic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0003075,Flavone,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
HMDB0003099,1-Methyluric acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0003119,Benzyl alcohol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols
HMDB0003134,Biocytin,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003152,N-Methylnicotinamide,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0003154,Canthaxanthin,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids
HMDB0003156,"2,3-Butanediol",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0003157,Guanidinosuccinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003164,Chlorogenic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0003217,Genistein,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes
HMDB0003231,Vaccenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0003243,Acetoin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003249,Rutin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides
HMDB0003254,Muramic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003265,Hesperidin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides
HMDB0003269,Nicotinuric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003282,1-Methylguanine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0003290,Gulonic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0003306,Phloretin,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones
HMDB0003312,Daidzein,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes
HMDB0003315,Cyclohexanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003320,Indole-3-carboxylic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives
HMDB0003331,1-Methyladenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0003332,3-Methoxy-4-Hydroxyphenylglycol sulfate,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0003334,Symmetric dimethylarginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003345,alpha-D-Glucose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003349,L-Dihydroorotic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003352,Menthol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0003355,5-Aminopentanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003361,Pyrimidine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0003364,Quinone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003366,Propanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003375,(+)-Limonene,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0003403,Amylose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003405,D-Lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003406,D-Serine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003409,Berberine,Organic compounds,Alkaloids and derivatives,Protoberberine alkaloids and derivatives,
HMDB0003416,D-Arginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003417,D-Cysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003418,D-Tagatose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003423,D-Glutamine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003424,1-Hexadecanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
HMDB0003431,L-Histidinol,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0003441,Cinnamaldehyde,Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,
HMDB0003447,Tryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB0003464,4-Guanidinobutanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003474,"3,5-Diiodo-L-tyrosine",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003501,cis-Caffeic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
HMDB0003543,Butanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003546,Salicin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003553,Stachyose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0003573,Scopolamine,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0003634,Perillyl alcohol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0003640,Beta-Leucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003646,N-Methylhydantoin,Organic compounds,Organoheterocyclic compounds,Azolines,Imidazolines
HMDB0003671,2-Heptanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0003828,D-Pantethine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003843,Gamma-Caprolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
HMDB0003911,3-Aminoisobutanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0003966,Selenomethionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0004041,L-Allothreonine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0004043,alpha-Terpineol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0004094,Indoxyl,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
HMDB0004095,5-Methoxytryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
HMDB0004110,Phosphonoacetate,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids
HMDB0004122,Selenocystine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0004136,D-Threitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0004230,Pyrrole-2-carboxylic acid,Organic compounds,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives
HMDB0004296,Acrylamide,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids
HMDB0004321,(-)-Limonene,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0004327,1-Butanol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0004350,Anabasine,Organic compounds,Alkaloids and derivatives,,
HMDB0004437,Diethanolamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0004476,Anatabine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0004487,(S)-Carvone,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0004586,Perillic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0004811,"2,4-Dichlorophenol",Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes
HMDB0004812,"2,5-Furandicarboxylic acid",Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives
HMDB0004814,4-Heptanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0004815,4-Hydroxy-3-methylbenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0004816,FAPy-adenine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0004982,cis-4-Octenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0004983,Dimethyl sulfone,Organic compounds,Organosulfur compounds,Sulfonyls,Sulfones
HMDB0004987,Aspartyllysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0004992,Benzocaine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0004998,Guaifenesin,Organic compounds,Benzenoids,Phenol ethers,Anisoles
HMDB0004999,Loperamide,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
HMDB0005000,Loratadine,Organic compounds,Organoheterocyclic compounds,Benzocycloheptapyridines,
HMDB0005005,Tolnaftate,Organic compounds,Benzenoids,Naphthalenes,
HMDB0005008,Lansoprazole,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,Sulfinylbenzimidazoles
HMDB0005015,Gabapentin,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0005016,Venlafaxine,Organic compounds,Benzenoids,Phenol ethers,Anisoles
HMDB0005018,Amlodipine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines
HMDB0005035,Ondansetron,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Carbazoles
HMDB0005038,Citalopram,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines
